#v0	t(Er)	uWannierFactor(Er/latticeSpacing)
0.	0.20053335160114885	0.8210568109252366
0.1	0.20072796629721176	0.9634919742900865
0.2	0.20004419767602807	1.1080040292525897
0.30000000000000004	0.19860842369402637	1.254677031047995
0.4	0.19654702230763524	1.4035950349115511
0.5	0.19398637147328326	1.554842096078507
0.6000000000000001	0.191052849147399	1.7085022697841112
0.7000000000000001	0.18787283328641105	1.8646596112636125
0.8	0.18457270184674798	2.023398175752259
0.9	0.1812788327848384	2.1848020184853008
1.	0.17811760405711083	2.3489551946979854
1.1	0.17452166737159447	2.5162027728920227
1.2000000000000002	0.1708486427675177	2.686541803880508
1.3	0.1671324113681892	2.86009114466755
1.4000000000000001	0.1634068542969176	3.036969652257261
1.5	0.15970585267701157	3.2172961836537497
1.6	0.15606328763177973	3.4011895958611267
1.7000000000000002	0.15251304028453078	3.588768745883502
1.8	0.14908899175857337	3.7801524907249853
1.9000000000000001	0.14582502317721616	3.9754596873896877
2.	0.14275501566376778	4.174809192881718
2.1	0.13919482898909297	4.372528869995498
2.2	0.13566137682268997	4.572633335476199
2.3000000000000003	0.1321624304205058	4.77503086472031
2.4000000000000004	0.12870576103848752	4.9796297331243125
2.5	0.12529913993258224	5.186338216084692
2.6	0.12195033835873696	5.395064588997935
2.7	0.11866712757289877	5.605717127260527
2.8000000000000003	0.11545727883101471	5.818204106268951
2.9000000000000004	0.11232856338903187	6.032433801419693
3.	0.1092887525028973	6.248314488109237
3.1	0.10634561742855804	6.46575444173407
3.2	0.10350692942196116	6.684661937690676
3.3000000000000003	0.10078045973905372	6.9049452513755405
3.4000000000000004	0.09817397963578278	7.126512658185147
3.5	0.09569526036809542	7.349272433515981
3.6	0.09335207319193867	7.573132852764529
3.7	0.0911521893632596	7.798002191327275
3.8000000000000003	0.08910338013800526	8.023788724600704
3.9000000000000004	0.08721341677212273	8.250400727981301
4.	0.08549007052155906	8.47774647686555
4.1000000000000005	0.08314258954237522	8.70575869063532
4.2	0.08084724753205119	8.934325180828365
4.3	0.07860445608662724	9.163354448131358
4.4	0.0764146268021436	9.392754993230973
4.5	0.0742781712746406	9.622435316813881
4.6000000000000005	0.07219550110015849	9.852303919566756
4.7	0.07016702787473755	10.08226930217627
4.800000000000001	0.06819316319441805	10.312239965329098
4.9	0.06627431865524029	10.54212440971191
5.	0.06441090585324453	10.771831136011379
5.1000000000000005	0.06260333638447102	11.00126864491418
5.2	0.06085202184496008	11.230345437106985
5.300000000000001	0.059157373830751946	11.458970013276467
5.4	0.05751980393788692	11.687050874109298
5.5	0.05593972376240528	11.91449652029215
5.6000000000000005	0.054417544900347274	12.1412154525117
5.7	0.052953678947753206	12.367116171454617
5.800000000000001	0.05154853750066333	12.592107177807575
5.9	0.050202532155117933	12.816096972257247
6.	0.0489160745071573	13.038994055490305
6.1000000000000005	0.04768957615282168	13.260706928193423
6.2	0.04652344868815138	13.481144091053274
6.300000000000001	0.04541810370918665	13.700214044756532
6.4	0.04437395281196778	13.917825289989866
6.5	0.04339140759253504	14.13388632743995
6.6000000000000005	0.0424708796469287	14.34830565779346
6.7	0.04161278057118905	14.560991781737066
6.800000000000001	0.04081752196135635	14.771853199957443
6.9	0.04008551541347089	14.98079841314126
7.	0.03941717252357294	15.187735921975193
7.1000000000000005	0.03838329963655934	15.403735303826453
7.2	0.03737709821341209	15.619254135373746
7.300000000000001	0.036398126826572764	15.834293737604622
7.4	0.03544594404848297	16.04885543150662
7.5	0.03452010845158427	16.26294053806729
7.6000000000000005	0.033620178608318264	16.476550378274183
7.7	0.03274571309112654	16.689686273114837
7.800000000000001	0.03189627047245067	16.9023495435768
7.9	0.031071409324732263	17.114541510647623
8.	0.030270688220412897	17.32626349531484
8.1	0.029493665731934158	17.53751681856601
8.200000000000001	0.02873990043173762	17.748302801388675
8.3	0.028008950892264895	17.95862276477038
8.4	0.027300375685957556	18.168478029698665
8.5	0.026613733385257195	18.377869917161085
8.6	0.025948582562605394	18.58679974814518
8.700000000000001	0.02530448179044373	18.795268843638503
8.8	0.024680989641213815	19.00327852462859
8.9	0.024077664687357222	19.210830112102997
9.	0.02349406550131554	19.41792492704926
9.1	0.022929750655530354	19.62456429045493
9.200000000000001	0.022384278722443245	19.83074952330756
9.3	0.021857208274495814	20.036481946594684
9.4	0.02134809788412964	20.241762881303853
9.5	0.02085650612378631	20.44659364842261
9.600000000000001	0.020381991565907406	20.65097556893851
9.700000000000001	0.01992411278293453	20.854909963839088
9.8	0.01948242834730926	21.058398154111895
9.9	0.019056496831473185	21.261441460744475
10.	0.018645876807867886	21.464041204724378
10.100000000000001	0.01825012684893495	21.66619870703915
10.200000000000001	0.01786880552711597	21.86791528867633
10.3	0.017501471414852535	22.069192270623468
10.4	0.01714768308458623	22.27003097386811
10.5	0.016806999108758637	22.470432719397802
10.600000000000001	0.01647897805981134	22.670398828200096
10.700000000000001	0.016163178510185942	22.869930621262526
10.8	0.01585915903232402	23.069029419572644
10.9	0.015566478198667157	23.267696544117996
11.	0.015284694581656946	23.465933315886126
11.100000000000001	0.014908789412912928	23.663165647334445
11.200000000000001	0.014542169843741792	23.85996625816509
11.3	0.014184706773138099	24.05633818785799
11.4	0.01383627110009641	24.252284475893056
11.5	0.013496733723611291	24.447808161750217
11.600000000000001	0.013165965542677302	24.642912284909396
11.700000000000001	0.012843837456289019	24.837599884850505
11.8	0.012530220363441	25.031874001053467
11.9	0.01222498516312781	25.225737672998203
12.	0.011928002754344014	25.41919394016464
12.100000000000001	0.011639144036084174	25.612245842032692
