    43.4        2   0.0187  0.00123        0        0
    43.8        2   0.0175  0.00114        0        0
    44.2        2   0.0163  0.00105        0        0
    44.6        2   0.0153 0.000977        0        0
      45        2   0.0143 0.000905        0        0
    45.4        2   0.0133 0.000838        0        0
    45.8        2   0.0125 0.000776        0        0
    46.2        2   0.0117 0.000718        0        0
    46.6        2   0.0109 0.000666        0        0
      47        2   0.0102 0.000617        0        0
    47.4        2  0.00953 0.000571        0        0
    47.8        2   0.0089 0.000529        0        0
    48.2        2  0.00832  0.00049        0        0
    48.6        2  0.00777 0.000453        0        0
      49        2  0.00727  0.00042        0        0
    49.4        2  0.00679 0.000389        0        0
    49.8        2  0.00634  0.00036        0        0
    50.2        2  0.00592 0.000333        0        0
    50.6        2  0.00553 0.000309        0        0
      51        2  0.00517 0.000286        0        0
    51.4        2  0.00483 0.000265        0        0
    51.8        2   0.0045 0.000245        0        0
    52.2        2  0.00421 0.000227        0        0
    52.6        2  0.00393  0.00021        0        0
      53        2  0.00367 0.000195        0        0
    53.4        2  0.00342  0.00018        0        0
    53.8        2   0.0032 0.000167        0        0
    54.2        2  0.00298 0.000154        0        0
    54.6        2  0.00278 0.000143        0        0
      55        2   0.0026 0.000132        0        0
    55.4        2  0.00242 0.000123        0        0
    55.8        2  0.00226 0.000114        0        0
    56.2        2  0.00211 0.000105        0        0
    56.6        2  0.00197 9.74e-05        0        0
      57        2  0.00184 9.02e-05        0        0
    57.4        2  0.00171 8.36e-05        0        0
    57.8        2   0.0016 7.74e-05        0        0
    58.2        2  0.00149 7.17e-05        0        0
    58.6        2  0.00139 6.63e-05        0        0
      59        2   0.0013 6.14e-05        0        0
    59.4        2  0.00121 5.68e-05        0        0
    59.8        2  0.00113 5.26e-05        0        0
    60.2        2  0.00105 4.87e-05        0        0
    60.6        2 0.000981 4.52e-05        0        0
      61        2 0.000915 4.18e-05        0        0
    61.4        2 0.000854 3.87e-05        0        0
    61.8        2 0.000796 3.58e-05        0        0
    62.2        2 0.000742 3.32e-05        0        0
    62.6        2 0.000692 3.07e-05        0        0
      63        2 0.000645 2.85e-05        0        0
    63.4        2 0.000602 2.63e-05        0        0
    63.8        2 0.000561 2.44e-05        0        0
    64.2        2 0.000523 2.26e-05        0        0
    64.6        2 0.000487 2.09e-05        0        0
      65        2 0.000454 1.94e-05        0        0
    65.4        2 0.000423 1.79e-05        0        0
    65.8        2 0.000394 1.66e-05        0        0
    66.2        2 0.000368 1.54e-05        0        0
    66.6        2 0.000343 1.42e-05        0        0
      67        2 0.000319 1.32e-05        0        0
    67.4        2 0.000297 1.22e-05        0        0
    67.8        2 0.000277 1.13e-05        0        0
    68.2        2 0.000258 1.05e-05        0        0
    68.6        2 0.000241 9.69e-06        0        0
      69        2 0.000224 8.98e-06        0        0
    69.4        2 0.000209 8.31e-06        0        0
    69.8        2 0.000195  7.7e-06        0        0
    70.2        2 0.000181 7.13e-06        0        0
    70.6        2 0.000169  6.6e-06        0        0
      71        2 0.000157 6.11e-06        0        0
    71.4        2 0.000146 5.66e-06        0        0
    71.8        2 0.000136 5.24e-06        0        0
    72.2        2 0.000127 4.85e-06        0        0
    72.6        2 0.000118 4.49e-06        0        0
      73        2  0.00011 4.16e-06        0        0
    73.4        2 0.000103 3.85e-06        0        0
    73.8        2 9.56e-05 3.57e-06        0        0
    74.2        2  8.9e-05  3.3e-06        0        0
    74.6        2 8.29e-05 3.06e-06        0        0
      75        2 7.72e-05 2.83e-06        0        0
    75.4        2 7.19e-05 2.62e-06        0        0
    75.8        2  6.7e-05 2.43e-06        0        0
    76.2        2 6.23e-05 2.25e-06        0        0
    76.6        2  5.8e-05 2.08e-06        0        0
      77        2  5.4e-05 1.93e-06        0        0
    77.4        2 5.03e-05 1.78e-06        0        0
    77.8        2 4.68e-05 1.65e-06        0        0
    78.2        2 4.36e-05 1.53e-06        0        0
    78.6        2 4.06e-05 1.42e-06        0        0
      79        2 3.78e-05 1.31e-06        0        0
    79.4        2 3.52e-05 1.22e-06        0        0
    79.8        2 3.27e-05 1.12e-06        0        0
    80.2        2 3.05e-05 1.04e-06        0        0
    80.6        2 2.84e-05 9.65e-07        0        0
      81        2 2.64e-05 8.93e-07        0        0
    81.4        2 2.46e-05 8.27e-07        0        0
    81.8        2 2.29e-05 7.65e-07        0        0
    82.2        2 2.13e-05 7.08e-07        0        0
    82.6        2 1.98e-05 6.57e-07        0        0
      83        2 1.84e-05 6.08e-07        0        0
    83.4        2 1.72e-05 5.63e-07        0        0
    83.8        2  1.6e-05 5.21e-07        0        0
    84.2        2 1.49e-05 4.82e-07        0        0
    84.6        2 1.38e-05 4.47e-07        0        0
      85        2 1.29e-05 4.14e-07        0        0
    85.4        2  1.2e-05 3.83e-07        0        0
    85.8        2 1.11e-05 3.55e-07        0        0
    86.2        2 1.04e-05 3.29e-07        0        0
    86.6        2 9.65e-06 3.04e-07        0        0
      87        2 8.98e-06 2.82e-07        0        0
    87.4        2 8.35e-06 2.61e-07        0        0
    87.8        2 7.77e-06 2.42e-07        0        0
    88.2        2 7.23e-06 2.24e-07        0        0
    88.6        2 6.73e-06 2.07e-07        0        0
      89        2 6.26e-06 1.92e-07        0        0
    89.4        2 5.82e-06 1.78e-07        0        0
    89.8        2 5.42e-06 1.64e-07        0        0
    90.2        2 5.04e-06 1.52e-07        0        0
    90.6        2 4.68e-06 1.41e-07        0        0
      91        2 4.36e-06 1.31e-07        0        0
    91.4        2 4.06e-06 1.21e-07        0        0
    91.8        2 3.77e-06 1.12e-07        0        0
    92.2        2 3.51e-06 1.04e-07        0        0
    92.6        2 3.26e-06 9.59e-08        0        0
      93        2 3.04e-06 8.89e-08        0        0
    93.4        2 2.82e-06 8.22e-08        0        0
    93.8        2 2.63e-06 7.61e-08        0        0
    94.2        2 2.44e-06 7.05e-08        0        0
    94.6        2 2.27e-06 6.53e-08        0        0
      95        2 2.11e-06 6.05e-08        0        0
    95.4        2 1.96e-06  5.6e-08        0        0
    95.8        2 1.81e-06 5.19e-08        0        0
    96.2        2 1.67e-06 4.81e-08        0        0
    96.6        2 1.55e-06 4.45e-08        0        0
      97        2 1.43e-06 4.12e-08        0        0
    97.4        2 1.32e-06 3.81e-08        0        0
    97.8        2 1.23e-06 3.53e-08        0        0
    98.2        2 1.16e-06 3.27e-08        0        0
    98.6        2  1.1e-06 3.03e-08        0        0
      99        2 1.05e-06  2.8e-08        0        0
    99.4        2 1.02e-06 2.57e-08        0        0
    99.8        2 1.01e-06 2.45e-08        0        0
